claim_id,claim,current_prior,evidence_needed,falsification_signal
FG-01,Formography can be used only with explicit acknowledgment of its 2021 STS cognate,medium,"exact-term sources; publication-status review; explicit contrast","prior use owns the same cross-domain method or creates unavoidable confusion"
FG-02,The method is distinguishable from ordinary concept mapping,medium,"contract comparison; representative artifacts; independent coding","concept-map conventions reproduce the complete output without loss"
FG-03,The method is distinguishable from knowledge graphs and semantic networks,medium,"semantics and governance comparison; graph implementation test","difference is only editorial styling over an ordinary graph"
FG-04,The method is distinguishable from formal ontology engineering,medium,"authority; axiom; open-world; inference; versioning comparison","Formography requires ontology commitments it claims to avoid"
FG-05,Forms factors relations frames and projections can be coded consistently,open,"coding manual; multiple coders; disagreement log","core object boundaries remain unstable across cases"
FG-06,The method is useful across domains without one domain owning the vocabulary,medium,"physical organizational mathematical and interpretive cases","core terms change meaning silently between domains"
FG-07,Typed relation and loss custody create inspectable value beyond a glossary,medium_high,"artifact comparison; practitioner tasks; error analysis","users receive no consequential distinction or trace"
FG-08,The method can be implemented independently of Factorium,open,"second implementation or manual packet reproduction","Factorium-specific conventions are required but undeclared"
FG-09,Formarium is a natural reference consequence of the method,open,"publication architecture; corpus rules; reader evaluation","collection identity drives the method rather than following it"
FG-10,A field-level name simplifies explanation and research,open,"terminology test; paper review; onboarding comparison","new vocabulary increases explanation cost or confusion"
FG-11,Current Factorium artifacts are evidence cases rather than proof of a field,strong,"source audit; claim boundary review","local artifacts are reported as external validation"
FG-12,Novelty must attach to the exact method contract rather than factor or graph primitives,strong,"prior-art matrix; contribution statement","paper claims invention of established primitives"
FG-13,A Structure Atlas can provide a useful reader projection without becoming the canonical collection,open,"projection contract; comparative layouts; reader tasks","atlas selection silently replaces source records or adds no value beyond an index"
